,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
alpha[89],0.902347,0.0184777,0.0551346,0.00844637,0.835364,0.897179,1.00502,20.5913,100.0,1.13837
alpha[90],0.774912,0.00851804,0.0257718,0.00805348,0.741095,0.773092,0.838224,22.7499,100.0,1.1227
alpha[91],0.696411,0.00838671,0.0252911,0.00803421,0.658227,0.697117,0.745155,17.6092,100.0,1.17491
alpha[92],0.882907,0.0176876,0.0546497,0.00820471,0.825169,0.877144,0.964396,21.6755,100.0,1.13169
alpha[93],0.807348,0.0084882,0.0264159,0.0106317,0.764886,0.809678,0.858574,20.2394,100.0,1.14983
alpha[94],0.74051,0.00996809,0.0375219,0.00986596,0.713118,0.733363,0.817223,43.3248,100.0,1.06528
alpha[95],0.675615,0.00282959,0.0170452,0.0086317,0.633584,0.67902,0.692774,60.7841,100.0,1.1837
alpha[96],0.574614,0.00792517,0.0248719,0.00995344,0.540457,0.574758,0.624685,18.6069,100.0,1.15537
alpha[97],0.603665,0.00539771,0.0185094,0.00721285,0.573309,0.60532,0.621788,26.1092,100.0,1.11503
alpha[98],0.540731,0.0180258,0.0603691,0.00703568,0.519473,0.548188,0.595281,20.4532,100.0,1.14586
alpha[99],0.630785,0.00565164,0.0195205,0.00736926,0.602125,0.63037,0.683082,24.3749,100.0,1.13712
alpha[100],0.604997,0.00851092,0.0270031,0.00829663,0.581556,0.603606,0.649429,22.3352,100.0,1.13573
beta[1],0.17538,0.00154085,0.0045234,0.00102596,0.16985,0.175459,0.184222,19.7958,100.0,1.14531
beta[2],0.00687782,0.000277032,0.00123529,0.000902614,0.00477073,0.00690822,0.00889138,25.3184,100.0,1.1126
beta[3],0.258869,0.00220754,0.00655292,0.0020964,0.246822,0.259029,0.267901,17.5164,100.0,1.17936
beta[4],-0.0175968,0.000302522,0.00146704,0.00119861,-0.0198432,-0.0177149,-0.0152026,32.1628,100.0,1.08129
beta[5],0.195791,0.000248366,0.00325178,0.00275689,0.19063,0.195833,0.201005,178.069,100.0,1.03641
beta[6],-0.947991,0.00241674,0.00702182,0.00175243,-0.96077,-0.948177,-0.937437,15.7859,100.0,1.19443
phi[1],0.179376,0.00424947,0.0126158,0.00103782,0.151694,0.179331,0.197777,18.1948,100.0,1.16839
phi[2],-0.0131662,0.00330589,0.00982489,0.000926551,-0.0324447,-0.0130987,0.00178456,21.4183,100.0,1.13215
sigma[1],0.68204,0.00222058,0.0103749,0.00614908,0.66095,0.683855,0.692976,47.6021,100.0,1.13444
sigma[2],0.699097,0.00574098,0.0321415,0.00708683,0.683859,0.694222,0.720557,50.54,100.0,1.05322
sigma[3],0.717879,0.00882161,0.0340274,0.00635591,0.701441,0.71164,0.724007,34.9395,100.0,1.07802
sigma[4],0.719973,0.000345832,0.00495016,0.00494595,0.712813,0.71944,0.728027,264.232,100.0,1.0099
sigma[5],0.681511,0.00132603,0.0078139,0.00605271,0.672823,0.681146,0.696389,41.4091,100.0,1.06302
sigma[6],0.700133,0.0230082,0.0855971,0.00606235,0.669736,0.683522,0.701981,26.5178,100.0,1.128
sigma[7],0.713676,0.0236608,0.0902696,0.00511794,0.686015,0.693472,0.746498,44.0649,100.0,1.06305
sigma[8],0.709757,0.00056301,0.00560554,0.00490148,0.700936,0.709492,0.717953,116.354,100.0,1.01537
sigma[9],0.708664,0.000494844,0.00555784,0.00567762,0.700269,0.708436,0.718335,179.097,100.0,1.01492
sigma[10],0.731063,0.00400137,0.0276598,0.0046398,0.720722,0.726983,0.739932,112.233,100.0,1.06617
sigma[11],0.730064,0.00745075,0.0428164,0.00782368,0.70591,0.716335,0.826998,57.0744,100.0,1.14172
sigma[12],0.671629,0.000776314,0.00596322,0.00384586,0.663559,0.671459,0.678501,64.5683,100.0,1.05943
sigma[13],0.726397,0.00197567,0.00803781,0.00507716,0.715979,0.726778,0.739065,23.9973,100.0,1.12619
sigma[14],0.721466,0.00172289,0.00812463,0.00558866,0.711457,0.721831,0.732822,46.58,100.0,1.05588
sigma[15],0.696599,0.00312859,0.0124647,0.00500378,0.687865,0.694391,0.704852,67.5744,100.0,1.0609
sigma[16],0.803854,0.00116136,0.00822359,0.0060542,0.794005,0.803468,0.813757,116.559,100.0,1.01145
sigma[17],0.740805,0.00151587,0.00806891,0.00560052,0.732124,0.741554,0.74957,109.497,100.0,1.08576
sigma[18],0.751249,0.000742089,0.00647656,0.00545597,0.741897,0.751195,0.76021,117.904,100.0,1.0363
sigma[19],0.690428,0.00451641,0.0164747,0.00473765,0.673596,0.689712,0.699443,28.6635,100.0,1.09241
sigma[20],0.685006,0.00883249,0.0336092,0.00554048,0.665572,0.679744,0.696138,27.6652,100.0,1.10754
sigma[21],0.672366,0.000619632,0.00525987,0.00556494,0.664358,0.672458,0.680004,85.9468,100.0,1.03124
sigma[22],0.671968,0.0148195,0.0565345,0.00553455,0.652421,0.660484,0.67199,70.2683,100.0,1.08952
sigma[23],0.656581,0.00304041,0.0117732,0.00447745,0.644562,0.658201,0.66749,38.2389,100.0,1.09549
sigma[24],0.627247,0.00142166,0.0105855,0.0047332,0.619714,0.626092,0.633924,124.747,100.0,1.07979
sigma[25],0.680901,0.00293822,0.0102233,0.00461756,0.672515,0.68197,0.692456,26.2133,100.0,1.10983
sigma[26],0.670994,0.0017568,0.00916181,0.00558347,0.648231,0.67231,0.68085,51.7927,100.0,1.04935
sigma[27],0.660655,0.00086372,0.00765646,0.00538925,0.651013,0.661525,0.668744,84.4284,100.0,1.04747
sigma[28],0.645549,0.00396961,0.0134866,0.00536331,0.636719,0.646362,0.660212,23.0013,100.0,1.12572
sigma[29],0.670438,0.00445851,0.0292756,0.00496523,0.657398,0.666445,0.676871,56.3786,100.0,1.1294
sigma[30],0.672331,0.00207445,0.0121448,0.00468057,0.663508,0.671609,0.679789,61.2363,100.0,1.08494
sigma[31],0.680386,0.000750506,0.00647958,0.00577324,0.672538,0.680502,0.690093,142.764,100.0,1.03924
sigma[32],0.669513,0.000873902,0.0061055,0.00518762,0.66003,0.670498,0.677284,67.0994,100.0,1.0531
sigma[33],0.538601,0.00289902,0.0107138,0.00404008,0.525089,0.539737,0.548957,34.8067,100.0,1.07389
sigma[34],0.630156,0.00124529,0.0074273,0.00396892,0.620214,0.629721,0.642818,37.4628,100.0,1.06983
sigma[35],0.631053,0.00105744,0.0062922,0.00471467,0.62304,0.631141,0.639705,41.5333,100.0,1.06255
sigma[36],0.614481,0.00252827,0.0113416,0.00544114,0.597403,0.61597,0.625483,25.5663,100.0,1.10823
sigma[37],0.618448,0.000720467,0.00509214,0.00500452,0.611383,0.618104,0.627769,45.1883,100.0,1.05876
sigma[38],0.680609,0.00028208,0.00430482,0.00452267,0.673313,0.680779,0.686992,241.827,100.0,1.01118
sigma[39],0.604151,0.000940228,0.0067946,0.00408012,0.596304,0.603797,0.611096,85.0733,100.0,1.03227
sigma[40],0.690645,0.00649987,0.0279349,0.00475618,0.678048,0.684983,0.708971,42.5947,100.0,1.06289
sigma[41],0.667017,0.000585979,0.00610583,0.00651232,0.657236,0.667402,0.677162,110.765,100.0,1.03826
sigma[42],0.653115,0.00218984,0.0116064,0.00594374,0.642732,0.651317,0.671163,68.6505,100.0,1.11163
sigma[43],0.695697,0.00156362,0.0088133,0.00506308,0.6755,0.697038,0.70579,57.8922,100.0,1.03662
sigma[44],0.672362,0.00118523,0.00628765,0.00573914,0.66346,0.673098,0.681052,43.5038,100.0,1.07259
sigma[45],0.679094,0.00305534,0.0126697,0.00545523,0.669454,0.680259,0.692009,35.1681,100.0,1.07316
sigma[46],0.676255,0.0146574,0.0550259,0.00455306,0.656596,0.66681,0.679685,43.6512,100.0,1.06047
sigma[47],0.6724,0.0131319,0.0485374,0.00458123,0.653351,0.664596,0.673896,30.7419,100.0,1.09474
sigma[48],0.678109,0.00101248,0.00612585,0.00496671,0.669647,0.67738,0.687284,52.0997,100.0,1.06347
sigma[49],0.661686,0.00353486,0.0135242,0.006433,0.652317,0.659636,0.677909,49.9586,100.0,1.09536
sigma[50],0.683889,0.00111677,0.00872827,0.00636332,0.674753,0.683021,0.69627,86.3933,100.0,1.03575
sigma[51],0.706105,0.00168424,0.0097212,0.00528473,0.687323,0.707346,0.716899,47.2382,100.0,1.0536
sigma[52],0.731132,0.00217146,0.00953633,0.00608904,0.718655,0.730699,0.744513,26.4501,100.0,1.1126
sigma[53],0.75021,0.00172991,0.0106118,0.00836705,0.728969,0.751846,0.763431,58.9301,100.0,1.03233
sigma[54],0.716299,0.00136873,0.00645403,0.00506901,0.706742,0.715564,0.728907,36.2208,100.0,1.09963
sigma[55],0.694193,0.0021631,0.010064,0.00598377,0.684113,0.694026,0.704584,58.4342,100.0,1.05449
sigma[56],0.805286,0.00238344,0.0101509,0.00674138,0.792058,0.806347,0.816862,40.1258,100.0,1.0738
sigma[57],0.757585,0.00136129,0.0080228,0.00739298,0.743074,0.757855,0.767775,44.3134,100.0,1.06454
